VisitorCookieID;2015-12-21;2015-12-22;2015-12-23;2015-12-24;2015-12-25;2015-12-26;2015-12-27;2015-12-28;2015-12-29;2015-12-30;2015-12-31;2016-01-01;2016-01-02;2016-01-03;2016-01-04;2016-01-05;2016-01-06;2016-01-07;2016-01-08;2016-01-09;2016-01-10;2016-01-11;2016-01-12;2016-01-13;2016-01-14;2016-01-15;2016-01-16;2016-01-17;2016-01-18;2016-01-19;2016-01-20;2016-01-21;2016-01-22;2016-01-23;2016-01-24;2016-01-25;2016-01-26;2016-01-27;2016-01-28;2016-01-29;2016-01-30
1387350517;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1389177150;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1392033515;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1393665314;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;;
1395338949;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1396400322;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1399668575;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1401092204;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1401753220;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
1406335657;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
1406980096;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1408693685;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141704682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;
1419764688;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1422155901;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;
142258727;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1423246367;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1423619192;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
1424550099;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1425100804;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1427784676;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;1;;;;;
1427997212;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1436689177;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
